timestamp,market_id,market_name,bet_id,bet_name,last_trade_price,buy_yes_price,buy_no_price,sell_yes_price,sell_no_price,volume
2024-10-30T18:07:28.560071+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:08:28.745032+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:08:28.745032+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:09:28.946534+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:09:28.946534+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:10:29.157575+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:10:29.157575+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:11:31.114915+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:11:31.114915+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:12:31.355297+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:12:31.355297+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:13:31.523597+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:13:31.523597+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:14:31.746840+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:14:31.746840+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.48,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:15:32.423423+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
